2026-03-08 12:56:21,151 | INFO | === DRY-RUN MODE � no database writes ===
2026-03-08 12:56:21,151 | INFO | nasdaq_cef_discovery.py | run_date=2026-03-08 | dry_run=True
2026-03-08 12:56:21,151 | INFO | Downloading nasdaqlisted from https://www.nasdaqtrader.com/dynamic/SymDir/nasdaqlisted.txt
2026-03-08 12:56:21,861 | INFO |   Downloaded 5366 rows from nasdaqlisted
2026-03-08 12:56:21,863 | INFO | Downloading otherlisted from https://www.nasdaqtrader.com/dynamic/SymDir/otherlisted.txt
2026-03-08 12:56:22,394 | INFO |   Downloaded 7025 rows from otherlisted
2026-03-08 12:56:22,421 | INFO | Combined listing file: 12244 unique tickers
2026-03-08 12:56:22,421 | WARNING | Could not load DB for diff (Config file not found: C:\Users\Mike\OneDrive - Gridiron Partners\Gridiron Partners - Shared Documents\Reporting\News\gridiron.cfg). Using empty baseline.
2026-03-08 12:56:22,422 | INFO | Running diff...
2026-03-08 12:56:22,528 | INFO | 
======================================================================
2026-03-08 12:56:22,528 | INFO | DRY-RUN DIFF REPORT
2026-03-08 12:56:22,528 | INFO | ======================================================================
2026-03-08 12:56:22,534 | INFO |   [HIGH  ] EVF      | Eaton Vance Senior Income Trust Common Stock
2026-03-08 12:56:22,534 | INFO |             Reason: Name patterns: ['\\btrust\\b', '\\bincome\\b'] | Source: otherlisted
2026-03-08 12:56:22,534 | INFO |   [HIGH  ] JRS      | Nuveen Real Estate Income Fund Common Shares of Be
2026-03-08 12:56:22,534 | INFO |             Reason: Name patterns: ['\\bfund\\b', '\\bincome\\b'] | Source: otherlisted
2026-03-08 12:56:22,534 | INFO |   [HIGH  ] NPV      | Nuveen Virginia Quality Municipal Income Fund Comm
2026-03-08 12:56:22,534 | INFO |             Reason: Name patterns: ['\\bfund\\b', '\\bincome\\b', '\\bmunicipal\\b'] | Source: otherlisted
2026-03-08 12:56:22,534 | INFO |   [HIGH  ] NZF      | Nuveen Municipal Credit Income Fund
2026-03-08 12:56:22,534 | INFO |             Reason: Name patterns: ['\\bfund\\b', '\\bincome\\b', '\\bmunicipal\\b'] | Source: otherlisted
2026-03-08 12:56:22,534 | INFO |   [HIGH  ] MGF      | MFS Government Markets Income Trust Common Stock
2026-03-08 12:56:22,534 | INFO |             Reason: Name patterns: ['\\btrust\\b', '\\bincome\\b'] | Source: otherlisted
2026-03-08 12:56:22,534 | INFO |   [HIGH  ] CCIF     | Carlyle Credit Income Fund Shares of Beneficial In
2026-03-08 12:56:22,535 | INFO |             Reason: Name patterns: ['\\bfund\\b', '\\bincome\\b'] | Source: otherlisted
